dist_id,year,state_name,dist_num,div_name,reg_name,population,households,income_mean,income_median
20101201,2010,Florida,1,South Atlantic,South,691673,264174,60866,47257
20101202,2010,Florida,2,South Atlantic,South,722780,279575,59433,44103
20101203,2010,Florida,3,South Atlantic,South,657444,243515,44265,34382
20101204,2010,Florida,4,South Atlantic,South,727944,276742,71456,54160
20101205,2010,Florida,5,South Atlantic,South,909672,365247,58088,45352
20101206,2010,Florida,6,South Atlantic,South,800372,310519,61448,46815
20101207,2010,Florida,7,South Atlantic,South,800390,310384,71097,50780
20101208,2010,Florida,8,South Atlantic,South,793390,304056,68478,50497
20101209,2010,Florida,9,South Atlantic,South,748521,300935,72097,51187
20101210,2010,Florida,10,South Atlantic,South,632360,285164,63101,45641
20101211,2010,Florida,11,South Atlantic,South,674050,266817,56821,39605
20101212,2010,Florida,12,South Atlantic,South,810398,304258,58487,46057
20101213,2010,Florida,13,South Atlantic,South,749095,320427,68198,48592
20101214,2010,Florida,14,South Atlantic,South,848196,349396,78004,52244
20101215,2010,Florida,15,South Atlantic,South,797517,319283,64517,47978
20101216,2010,Florida,16,South Atlantic,South,785893,309219,68138,47617
20101217,2010,Florida,17,South Atlantic,South,649459,213945,47680,36812
20101218,2010,Florida,18,South Atlantic,South,684490,266278,70469,40934
20101219,2010,Florida,19,South Atlantic,South,728946,307027,70931,50239
20101220,2010,Florida,20,South Atlantic,South,681085,280817,80631,55466
20101221,2010,Florida,21,South Atlantic,South,674396,221510,66757,48408
20101222,2010,Florida,22,South Atlantic,South,683288,296179,95271,61940
20101223,2010,Florida,23,South Atlantic,South,681896,231372,49734,38201
20101224,2010,Florida,24,South Atlantic,South,778677,293836,70248,54670
20101225,2010,Florida,25,South Atlantic,South,799688,232169,68923,54438
20101301,2010,Georgia,1,South Atlantic,South,706740,261701,56475,42820
20101302,2010,Georgia,2,South Atlantic,South,632091,229566,47608,33992
20101303,2010,Georgia,3,South Atlantic,South,790476,285693,69994,56465
20101304,2010,Georgia,4,South Atlantic,South,652410,237444,61553,47403
20101305,2010,Georgia,5,South Atlantic,South,621008,261691,80132,47038
20101306,2010,Georgia,6,South Atlantic,South,743020,282125,105952,79360
20101307,2010,Georgia,7,South Atlantic,South,880763,297122,79302,64239
20101308,2010,Georgia,8,South Atlantic,South,702807,253836,55516,42679
